
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName                                                                        PSComputerName
      9     1.60       1.86       0.06   34100   0 svchost                                                                            172.16.2.77
     18     9.46      14.99      10.91   57856   3 svchost                                                                            172.16.2.77
      9     1.88       7.81       0.06   58512   0 svchost                                                                            172.16.2.77
      9     1.84       2.48       0.03  121348   3 svchost                                                                            172.16.2.77
      7     1.27       1.54       0.09  138620   0 svchost                                                                            172.16.2.77
     28     3.61       7.93       3.47  154728   0 svchost                                                                            172.16.2.77
     17     3.05       9.82       0.86  169268   0 svchost                                                                            172.16.2.77
     14     2.82       3.59       0.25  208660   3 svchost                                                                            172.16.2.77
     17     4.12      15.91       8.28  218620   3 svchost                                                                            172.16.2.77
     22     8.64      26.34      36.39  267088   3 svchost                                                                            172.16.2.77
     22    18.80       3.22     190.58    4700   0 SWService                                                                          172.16.2.77
     53    52.23      13.52      87.27    4296   0 Syslogd_Service                                                                    172.16.2.77
      0     0.19       0.03  51,557.77       4   0 System                                                                             172.16.2.77
     35    22.58      66.89       2.11   75764   3 SystemSettings                                                                     172.16.2.77
     26     7.41      18.47       8.78  218788   3 SystemSettingsBroker                                                               172.16.2.77
     17     4.27       9.41       4.61   80852   3 TabTip                                                                             172.16.2.77
     22    19.29       1.79       3.25    4752   0 tacplus                                                                            172.16.2.77
     34     8.31      13.41      19.06  102300   3 taskhostw                                                                          172.16.2.77
     25    15.85       5.79       5.30    4820   0 TeamViewer_Service                                                                 172.16.2.77
     23    16.11      27.43       9.50   43564   3 TextInputHost                                                                      172.16.2.77
     58    21.91      29.33       0.66  176092   0 TiWorker                                                                           172.16.2.77
      9     1.82       7.49       0.05  235240   0 TrustedInstaller                                                                   172.16.2.77
      7     1.32       2.05       0.20   54536   0 uhssvc                                                                             172.16.2.77
      9     2.02       4.91      18.64    6124   0 unsecapp                                                                           172.16.2.77
     23    31.98      26.79   6,127.75    6320   0 WinCollect                                                                         172.16.2.77
     13     3.13       6.18     264.72    4848   0 WinCollectSvc                                                                      172.16.2.77
     12     1.64       2.14       0.12     800   0 wininit                                                                            172.16.2.77
     13     3.39       6.35       2.36  102448   3 winlogon                                                                           172.16.2.77
     11     2.62       2.48       0.23  188200   4 winlogon                                                                           172.16.2.77
      8     1.19       0.96       0.08  134844   0 winver                                                                             172.16.2.77
      8     1.18       0.96       0.14  144612   0 winver                                                                             172.16.2.77
      8     1.18       0.96       0.06  224548   0 winver                                                                             172.16.2.77
     47   115.31      80.72     325.56   50316   3 Wireshark                                                                          172.16.2.77
     20     4.85      17.93       8.23  101492   0 wlanext                                                                            172.16.2.77
     20    31.73      34.44     392.14    6240   0 WmiPrvSE                                                                           172.16.2.77
     26    39.69      48.68       0.19   20080   0 wsmprovhost                                                                        172.16.2.77
     28    44.57      59.02       7.45   28044   0 wsmprovhost                                                                        172.16.2.77
     24    38.54      47.76       0.27  145212   0 wsmprovhost                                                                        172.16.2.77
     11     1.95       1.98       1.89    2572   0 WUDFHost                                                                           172.16.2.77
     20     7.04      12.53      61.64    4964   0 ZeroConfigService                                                                  172.16.2.77

